Code,Area,16 or under,17-19,20-23,24+,Still in education,Never had education,,16 or under-95,17-19-95,20-23-95,24+-95,Still in education-95,Never had education-95
E12000003,Yorkshire and The Humber,"1,842,000","804,000","576,000","105,000","271,000","8,000",,"38,000","26,000","23,000","10,000","16,000","3,000"
E12000004,East Midlands,"1,495,000","768,000","499,000","98,000","233,000","8,000",,"41,000","30,000","23,000","10,000","17,000","3,000"
E12000005,West Midlands,"1,943,000","847,000","596,000","105,000","278,000","11,000",,"40,000","28,000","24,000","10,000","17,000","3,000"
E12000006,East,"1,782,000","1,100,000","691,000","135,000","252,000","6,000",,"44,000","36,000","29,000","13,000","17,000","3,000"
E12000007,London,"1,427,000","1,474,000","1,751,000","572,000","506,000","51,000",,"39,000","42,000","46,000","26,000","24,000","7,000"
E12000008,South East,"2,239,000","1,670,000","1,282,000","260,000","401,000","5,000",,"46,000","41,000","36,000","16,000","20,000","2,000"
E12000009,South West,"1,539,000","988,000","679,000","122,000","235,000",-,,"36,000","29,000","25,000","11,000","15,000",-
,,,,,,,,,,,,,,
E92000001,England,"15,772,000","9,075,000","7,113,000","1,572,000","2,655,000","102,000",,"114,000","92,000","84,000","40,000","51,000","10,000"
W92000004,Wales,"985,000","534,000","352,000","60,000","154,000",-,,"18,000","14,000","11,000","5,000","8,000",-
S92000003,Scotland,"1,677,000","920,000","676,000","148,000","254,000","4,000",,"28,000","21,000","19,000","9,000","12,000","2,000"
N92000002,Northern Ireland,"547,000","311,000","201,000","53,000","103,000",-,,"23,000","18,000","15,000","8,000","10,000",-
,,,,,,,,,,,,,,
K02000001,UK,"18,981,000","10,840,000","8,342,000","1,833,000","3,165,000","109,000",,"117,000","94,000","85,000","41,000","53,000","10,000"
