Code ,Area,Number_FLOE,First_Lang_Other_Eng_Percentage,Number_FLE,First_Lang_Eng_Percentage,Number_UN,Unclassified_Percentage,,,Number_FLOES,First_Lang_Other_Eng_Percentage_Sec,Number_FLES,First_Lang_Eng_Percentage_Sec,Number_UNS,Unclassified_Percentage_Sec,
E13000001,Inner London,"109,568",56,"87,098",44,711,0,"197,377",,"80,240",50,"80,616",50,819,1,"161,675"
E13000002,Outer London,"172,502",46,"203,988",54,"1,155",0,"377,645",,"120,994",37,"203,689",62,"1,932",1,"326,615"
,,,,,,,,,,,,,,,,
E12000001,North East,"11,758",7,"152,739",93,218,0,"164,715",,"8,087",5,"145,949",95,202,0,"154,238"
E12000002,North West,"75,906",15,"426,278",85,337,0,"502,521",,"45,087",11,"365,889",89,644,0,"411,620"
E12000003,Yorkshire and the Humber,"65,380",17,"309,465",83,366,0,"375,211",,"41,465",13,"273,887",87,565,0,"315,917"
E12000004,East Midlands,"45,535",15,"268,181",85,539,0,"314,255",,"30,754",11,"245,315",89,528,0,"276,597"
E12000005,West Midlands,"86,911",22,"314,125",78,534,0,"401,570",,"62,105",17,"292,900",82,"1,202",0,"356,207"
E12000006,East of England,"60,100",15,"343,654",85,726,0,"404,480",,"39,850",11,"329,747",89,947,0,"370,544"
E12000007,London,"282,070",49,"291,086",51,"1,866",0,"575,022",,"201,234",41,"284,305",58,"2,751",1,"488,290"
E12000008,South East,"80,593",14,"502,035",86,594,0,"583,222",,"53,526",11,"444,708",89,"1,022",0,"499,256"
E12000009,South West,"26,102",8,"308,627",92,358,0,"335,087",,"16,953",6,"291,667",94,383,0,"309,003"
,,,,,,,,,,,,,,,,
E92000001,England,"734,355",20,"2,916,190",80,"5,538",0,"3,656,083",,"499,061",16,"2,674,367",84,"8,244",0,"3,181,672"
