Code ,Area,Number_FLOE,First_Lang_Other_Eng_Percentage,Number_FLE,First_Lang_Eng_Percentage,Number_UN,Unclassified_Percentage,,,Number_FLOES,First_Lang_Other_Eng_Percentage_Sec,Number_FLES,First_Lang_Eng_Percentage_Sec,Number_UNS,Unclassified_Percentage_Sec,
E09000001,City of London,99,56,71,40,6,3,176,,.,.,.,.,.,.,.
E09000002,Barking and Dagenham,"11,257",54,"9,320",45,128,1,"20,705",,"5,877",42,"8,184",58,105,1,"14,166"
E09000003,Barnet,"11,830",49,"12,257",51,196,1,"24,283",,"9,261",39,"14,458",61,171,1,"23,890"
E09000004,Bexley,"3,362",19,"14,505",81,7,0,"17,874",,"2,702",13,"17,421",86,139,1,"20,262"
E09000005,Brent,"14,987",69,"6,773",31,59,0,"21,819",,"10,592",55,"8,192",43,418,2,"19,202"
E09000006,Bromley,"3,119",14,"19,135",86,56,0,"22,310",,"2,043",9,"19,783",90,91,0,"21,917"
E09000007,Camden,"5,732",61,"3,593",38,35,0,"9,360",,"4,986",51,"4,722",48,103,1,"9,811"
E09000008,Croydon,"9,775",36,"17,172",64,40,0,"26,987",,"5,788",26,"16,174",74,57,0,"22,019"
E09000009,Ealing,"16,333",64,"9,032",36,5,0,"25,370",,"10,143",54,"8,440",45,107,1,"18,690"
E09000010,Enfield,"13,104",49,"13,347",50,152,1,"26,603",,"10,040",45,"12,091",54,168,1,"22,299"
E09000011,Greenwich,"8,525",43,"11,303",57,40,0,"19,868",,"4,774",34,"8,984",65,138,1,"13,896"
E09000012,Hackney,"8,549",54,"7,256",46,23,0,"15,828",,"5,926",46,"6,835",53,97,1,"12,858"
E09000013,Hammersmith and Fulham,"3,996",49,"4,144",51,4,0,"8,144",,"3,452",40,"5,237",60,30,0,"8,719"
E09000014,Haringey,"10,324",56,"8,068",44,106,1,"18,498",,"6,196",47,"6,843",52,44,0,"13,083"
E09000015,Harrow,"11,174",66,"5,833",34,18,0,"17,025",,"7,896",60,"5,198",40,38,0,"13,132"
E09000016,Havering,"3,026",17,"14,816",83,46,0,"17,888",,"1,694",11,"14,290",89,57,0,"16,041"
E09000017,Hillingdon,"10,749",47,"11,834",52,87,0,"22,670",,"8,121",41,"11,559",58,102,1,"19,782"
E09000018,Hounslow,"11,667",63,"6,731",36,115,1,"18,513",,"9,159",55,"7,478",45,43,0,"16,680"
E09000019,Islington,"4,974",44,"6,397",56,11,0,"11,382",,"3,969",46,"4,679",54,8,0,"8,656"
E09000020,Kensington and Chelsea,"3,153",54,"2,679",46,3,0,"5,835",,"2,445",51,"2,357",49,6,0,"4,808"
E09000021,Kingston upon Thames,"3,962",36,"7,138",64,5,0,"11,105",,"2,995",31,"6,780",69,38,0,"9,813"
E09000022,Lambeth,"9,042",52,"8,470",48,51,0,"17,563",,"5,521",42,"7,630",58,26,0,"13,177"
E09000023,Lewisham,"6,627",33,"13,102",66,111,1,"19,840",,"4,067",28,"10,305",71,134,1,"14,506"
E09000024,Merton,"6,763",47,"7,517",53,1,0,"14,281",,"3,154",36,"5,610",64,3,0,"8,767"
E09000025,Newham,"20,492",74,"7,031",25,109,0,"27,632",,"14,423",66,"7,232",33,101,1,"21,756"
E09000026,Redbridge,"15,382",66,"7,933",34,48,0,"23,363",,"13,929",58,"10,131",42,48,0,"24,108"
E09000027,Richmond upon Thames,"3,152",23,"10,398",76,79,1,"13,629",,"1,652",19,"6,758",80,86,1,"8,496"
E09000028,Southwark,"8,862",46,"10,510",54,107,1,"19,479",,"5,368",36,"9,431",63,161,1,"14,960"
E09000029,Sutton,"3,797",27,"10,042",73,12,0,"13,851",,"4,000",22,"13,971",77,84,1,"18,055"
E09000030,Tower Hamlets,"14,677",75,"4,839",25,103,1,"19,619",,"11,833",71,"4,889",29,34,0,"16,756"
E09000031,Waltham Forest,"10,538",54,"8,902",46,61,0,"19,501",,"7,174",47,"8,187",53,39,0,"15,400"
E09000032,Wandsworth,"7,038",46,"8,262",54,10,0,"15,310",,"5,225",45,"6,297",55,24,0,"11,546"
E09000033,Westminster,"6,003",69,"2,676",31,32,0,"8,711",,"6,829",62,"4,159",38,51,1,"11,039"
,,,,,,,,,,,,,,,,
