Code,Area,16 or under,17-19,20-23,24+,Still in education,Never had education,,16 or under-95,17-19-95,20-23-95,24+-95,Still in education-95,Never had education-95
E09000021,Kingston upon Thames,"18,000","27,000","46,000","10,000","13,000",-,,"4,000","5,000","6,000","3,000","3,000",-
E09000022,Lambeth,"43,000","47,000","105,000","27,000","16,000",-,,"9,000","10,000","15,000","7,000","6,000",-
E09000023,Lewisham,"44,000","56,000","68,000","27,000","11,000",-,,"7,000","8,000","10,000","6,000","4,000",-
E09000024,Merton,"27,000","36,000","54,000","16,000","12,000",-,,"5,000","6,000","8,000","4,000","3,000",-
E09000025,Newham,"54,000","58,000","57,000","17,000","37,000","7,000",,"8,000","9,000","9,000","5,000","7,000","3,000"
E09000026,Redbridge,"49,000","49,000","64,000","21,000","17,000",-,,"7,000","8,000","9,000","5,000","5,000",-
E09000027,Richmond upon Thames,"12,000","33,000","59,000","17,000","9,000",-,,"3,000","5,000","7,000","4,000","3,000",-
E09000028,Southwark,"42,000","46,000","83,000","26,000","22,000",-,,"7,000","7,000","10,000","5,000","5,000",-
E09000029,Sutton,"39,000","41,000","34,000","13,000","7,000",-,,"7,000","7,000","7,000","4,000","3,000",-
E09000030,Tower Hamlets,"53,000","40,000","71,000","20,000","18,000","6,000",,"8,000","7,000","10,000","5,000","5,000","3,000"
E09000031,Waltham Forest,"45,000","49,000","51,000","16,000","20,000","5,000",,"8,000","8,000","9,000","5,000","5,000","3,000"
E09000032,Wandsworth,"31,000","44,000","111,000","32,000","12,000",-,,"7,000","9,000","14,000","8,000","4,000",-
E09000033,Westminster,"18,000","30,000","72,000","31,000","16,000",-,,"4,000","5,000","8,000","6,000","3,000",-
,,,,,,,,,,,,,,
E12000001,North East,"932,000","425,000","267,000","48,000","125,000","1,000",,"21,000","15,000","12,000","5,000","8,000","1,000"
E12000002,North West,"2,320,000","1,116,000","874,000","167,000","356,000","12,000",,"40,000","29,000","26,000","11,000","17,000","3,000"
E12000003,Yorkshire and The Humber,"1,724,000","860,000","624,000","124,000","286,000","8,000",,"37,000","27,000","24,000","10,000","17,000","3,000"
E12000004,East Midlands,"1,428,000","806,000","587,000","103,000","221,000","3,000",,"41,000","31,000","26,000","10,000","16,000","1,000"
E12000005,West Midlands,"1,792,000","923,000","677,000","131,000","290,000","9,000",,"40,000","29,000","25,000","11,000","18,000","3,000"
E12000006,East,"1,692,000","1,124,000","776,000","165,000","264,000","7,000",,"44,000","37,000","31,000","14,000","18,000","3,000"
E12000007,London,"1,350,000","1,472,000","1,976,000","634,000","507,000","47,000",,"40,000","43,000","50,000","28,000","24,000","7,000"
E12000008,South East,"2,075,000","1,714,000","1,423,000","282,000","442,000","4,000",,"43,000","40,000","36,000","15,000","21,000","2,000"
E12000009,South West,"1,407,000","1,062,000","751,000","143,000","245,000","6,000",,"33,000","30,000","26,000","11,000","15,000","3,000"
,,,,,,,,,,,,,,
E92000001,England,"14,720,000","9,503,000","7,957,000","1,796,000","2,736,000","98,000",,"111,000","94,000","88,000","42,000","52,000","10,000"
W92000004,Wales,"897,000","560,000","397,000","72,000","163,000",-,,"17,000","14,000","12,000","5,000","8,000",-
S92000003,Scotland,"1,566,000","956,000","739,000","163,000","269,000","4,000",,"27,000","22,000","20,000","10,000","13,000","2,000"
N92000002,Northern Ireland,"480,000","346,000","248,000","56,000","109,000",-,,"23,000","20,000","17,000","8,000","11,000",-
,,,,,,,,,,,,,,
K02000001,UK,"17,663,000","11,364,000","9,341,000","2,087,000","3,277,000","104,000",,"114,000","96,000","89,000","43,000","54,000","10,000"
