Code,Area,16-18 Year Old Students Entered for Level 3 Qualifications; Total,Average Level 3 QCDA Point Score Per Student,Average Level 3 QCDA Point Score Per Entry; All Students,Students Achieving 2 or More Passes of A Level Equivalent Size,16-18 Year Old Students Entered for Level 3 Qualifications; Male,Average Level 3 QCDA Point Score Per Male Student,Average Level 3 QCDA Point Score Per Entry; Male Students,Male Students Achieving 2 or More Passes of A Level Equivalent Size,16-18 Year Old Students Entered for Level 3 Qualifications; Female,Average Level 3 QCDA Point Score Per Female Student,Average Level 3 QCDA Point Score Per Entry; Female Students,Female Students Achieving 2 or More Passes of A Level Equivalent Size
E09000001,City of London,x,696.8,206.1,x,x,791.3,218.3,x,x,633.8,197,x
E09000002,Barking and Dagenham,1466,656.8,206,89.8,660,640.5,204.4,89.8,806,670.1,207.2,89.7
E09000003,Barnet,2549,715.2,217.3,92.6,1259,698.5,215.2,91.8,1290,731.6,219.4,93.3
E09000004,Bexley,1916,711,209.9,93,938,703.5,208.1,92.9,978,718.2,211.6,93.1
E09000005,Brent,2206,674,209.6,93.1,1055,654.4,207.9,91.5,1151,692,211.2,94.6
E09000006,Bromley,2353,751.6,217.3,94.1,1120,740.8,214.9,94.2,1233,761.4,219.4,94.1
E09000007,Camden,885,629.5,207.9,86.9,407,615.2,202.8,84.8,478,641.7,212.3,88.7
E09000008,Croydon,3006,672,210.3,88.8,1402,655.7,207.9,87.4,1604,686.4,212.4,90
E09000009,Ealing,2357,704.8,212.5,95.2,1173,691.5,209.7,94.9,1184,717.9,215.2,95.6
E09000010,Enfield,2686,664.6,209.1,91,1307,657.2,207.4,91.1,1379,671.6,210.7,90.8
E09000011,Greenwich,1541,688.5,206.3,93.1,707,665.3,203.3,91.1,834,708.2,208.7,94.8
E09000012,Hackney,1396,650.4,207.6,92.6,582,632.6,204,93.1,814,663.1,210.2,92.1
E09000013,Hammersmith and Fulham,691,654.2,205.9,92.9,324,643.5,202.8,92.3,367,663.7,208.7,93.5
E09000014,Haringey,1695,671.9,211.5,92.1,769,641.3,206,91,926,697.2,216,93
E09000015,Harrow,2060,757,217.9,97.1,1022,756.3,217.1,97.5,1038,757.7,218.6,96.7
E09000016,Havering,1818,672.7,201.6,89.2,868,649.2,198.5,87.6,950,694.2,204.4,90.7
E09000017,Hillingdon,2108,716.8,210.5,95.8,1042,701.7,207,94.9,1066,731.5,214,96.7
E09000018,Hounslow,1870,679.3,209.8,92.3,882,652.4,204.8,90.4,988,703.3,214,94
E09000019,Islington,986,633.6,204.9,88.6,436,606.1,201.5,86.7,550,655.4,207.5,90.2
E09000020,Kensington and Chelsea,,666.6,207.5,,,671.7,209.5,,,662.3,205.7,
E09000021,Kingston upon Thames,1081,736.1,214.6,93.4,485,709.6,210.1,92.8,596,757.6,218.2,94
E09000022,Lambeth,1685,641.4,204.4,88.8,702,609,200,85.8,983,664.6,207.5,91
E09000023,Lewisham,1825,656.8,205,89,833,647.3,203.6,89.1,992,664.9,206.2,88.9
E09000024,Merton,1349,690.2,209.5,91.8,682,666.8,204.7,90.5,667,714,214.3,93.3
E09000025,Newham,2521,630.9,203,90.8,1144,624.4,203.3,89.9,1377,636.2,202.7,91.4
E09000026,Redbridge,2502,700.3,212,94.3,1164,697.1,211,93.3,1338,703.1,212.8,95.1
E09000027,Richmond upon Thames,976,769.9,215.4,95.4,453,751.6,212,95.6,523,785.7,218.2,95.2
E09000028,Southwark,1659,626.7,202.4,86.5,727,603.9,199.5,84.9,932,644.5,204.6,87.8
E09000029,Sutton,1593,746.3,219.3,93.5,743,728.9,216.8,92.9,850,761.5,221.5,94
E09000030,Tower Hamlets,1492,636.8,204.4,91.7,690,605.1,199.3,88.4,802,664,208.6,94.5
E09000031,Waltham Forest,1883,681.1,206,93.1,883,665.7,203.6,93.3,1000,694.7,208.1,92.9
E09000032,Wandsworth,1225,674.4,209.8,90.4,545,666.2,207.1,89.9,680,680.9,212,90.9
E09000033,Westminster,745,659.9,205.5,90.7,321,630.6,200.6,89.7,424,682.1,209.1,91.5
,,,,,,,,,,,,,
E12000001,North East,16710,685.4,210.7,91.4,7781,662.4,205.6,91.2,8929,705.4,215.1,91.7
E12000002,North West,49165,735,212.5,92.4,22913,714.6,207.4,92.6,26252,752.8,216.8,92.3
E12000003,Yorkshire and The Humber,34422,715.1,209.1,91.6,16005,694.7,204.7,91.4,18417,732.8,212.9,91.6
E12000004,East Midlands,29902,691.6,207.4,90.6,13877,670.8,202.2,90.4,16025,709.5,211.8,90.7
E12000005,West Midlands,38828,685.9,208.4,90,17883,662.9,203.6,89.6,20945,705.5,212.4,90.3
E12000006,East of England,41084,712.3,210.2,92.2,19335,691.2,205.5,92.2,21749,731.1,214.4,92.2
E12000007,London,54549,684.5,209.7,92,25521,669.4,207.2,91.2,29028,697.7,211.9,92.7
E12000008,South East,57780,725.8,212.9,92.3,27507,703,207.8,91.8,30273,746.4,217.4,92.8
E12000009,South West,33979,708.2,212.3,93.1,15757,690.2,206.9,93.6,18222,723.8,217,92.6
,,,,,,,,,,,,,
E92000001,England,358474,706.4,210.6,91.7,167610,686.3,206,91.5,190864,724.1,214.5,91.9
