Code ,Area,Number_FLOE,First_Lang_Other_Eng_Percentage,Number_FLE,First_Lang_Eng_Percentage,Number_UN,Unclassified_Percentage,,,Number_FLOES,First_Lang_Other_Eng_Percentage_Sec,Number_FLES,First_Lang_Eng_Percentage_Sec,Number_UNS,Unclassified_Percentage_Sec,
E09000001,City of London,126,70.4,49,27.4,4,2.2,180,,.,.,.,.,.,.,.
E09000002,Barking and Dagenham,7630,45.8,8922,53.6,99,0.6,16650,,4325,32.6,8935,67.2,27,0.2,13285
E09000003,Barnet,9921,45.8,11560,53.4,164,0.8,21645,,8673,39.2,13348,60.3,126,0.6,22145
E09000004,Bexley,2378,14.7,13787,85.2,18,0.1,16185,,2272,11.3,17757,88.1,137,0.7,20165
E09000005,Brent,13125,66.4,6601,33.4,43,0.2,19770,,9690,52.5,8550,46.4,200,1.1,18440
E09000006,Bromley,2082,10.4,17953,89.3,69,0.3,20105,,1555,7,20403,91.3,386,1.7,22345
E09000007,Camden,5499,61.7,3385,38,27,0.3,8910,,4666,48.3,4880,50.5,115,1.2,9660
E09000008,Croydon,7492,31.3,16399,68.5,34,0.1,23925,,4768,21.8,17027,77.7,123,0.6,21920
E09000009,Ealing,13778,63.1,8034,36.8,11,0.1,21825,,9135,50.3,9026,49.7,5,0,18165
E09000010,Enfield,11454,48.3,12063,50.9,196,0.8,23715,,8978,40,13329,59.3,162,0.7,22470
E09000011,Greenwich,6872,41.2,9779,58.6,24,0.1,16675,,4959,35.5,8683,62.1,330,2.4,13970
E09000012,Hackney,7934,56.4,6100,43.3,45,0.3,14080,,4446,43.8,5126,50.5,572,5.6,10145
E09000013,Hammersmith and Fulham,3738,49.1,3865,50.8,3,0,7605,,3287,43.2,4269,56.1,59,0.8,7615
E09000014,Haringey,9187,54,7744,45.5,90,0.5,17020,,6369,47.5,7037,52.4,12,0.1,13420
E09000015,Harrow,8789,58.2,6291,41.7,21,0.1,15100,,6462,53.2,5599,46.1,77,0.6,12140
E09000016,Havering,1724,10.9,14038,88.7,61,0.4,15825,,1134,6.9,15357,92.9,39,0.2,16530
E09000017,Hillingdon,8343,42.6,11225,57.3,36,0.2,19605,,6155,32.8,12541,66.9,43,0.2,18740
E09000018,Hounslow,9355,59.9,6142,39.3,113,0.7,15610,,8682,52.8,7513,45.7,234,1.4,16430
E09000019,Islington,4507,42.9,5986,57,11,0.1,10505,,4170,49.6,4220,50.2,12,0.1,8400
E09000020,Kensington and Chelsea,3168,56.8,2414,43.2,0,0,5580,,1995,49.4,2044,50.6,x,x,4040
E09000021,Kingston upon Thames,3073,31.9,6547,68,9,0.1,9630,,2765,27.6,7219,72,44,0.4,10030
E09000022,Lambeth,8069,48.8,8406,50.9,53,0.3,16530,,4251,39.8,6384,59.8,33,0.3,10670
E09000023,Lewisham,5718,32.8,11547,66.3,151,0.9,17415,,3813,27,10120,71.7,183,1.3,14115
E09000024,Merton,5211,42.7,6980,57.3,0,0,12190,,2831,32.4,5900,67.6,0,0,8730
E09000025,Newham,18650,74.4,6309,25.2,115,0.5,25075,,12620,67.4,6047,32.3,64,0.3,18730
E09000026,Redbridge,12989,61.5,8118,38.4,25,0.1,21130,,11802,53.2,10142,45.7,257,1.2,22200
E09000027,Richmond upon Thames,2262,19.7,9136,79.7,65,0.6,11465,,1264,18.9,5426,81,11,0.2,6700
E09000028,Southwark,7443,42.7,9865,56.6,118,0.7,17425,,4925,36.7,8149,60.7,343,2.6,13415
E09000029,Sutton,2455,20.9,9280,79,15,0.1,11750,,2849,16.4,14409,83.1,77,0.4,17335
E09000030,Tower Hamlets,14073,77.3,4108,22.6,20,0.1,18200,,10377,69.3,4528,30.2,70,0.5,14975
E09000031,Waltham Forest,9599,54.3,7966,45.1,102,0.6,17665,,6423,43.3,8381,56.5,38,0.3,14840
E09000032,Wandsworth,6022,44.4,7527,55.5,8,0.1,13555,,4698,41.5,6579,58.1,37,0.3,11315
E09000033,Westminster,6357,71.7,2494,28.1,14,0.2,8865,,5945,63.3,3370,35.9,70,0.7,9385
,,,,,,,,,,,,,,,,
UKI1,Inner London,100490,55.5,79800,44.1,660,0.4,180950,,71560,49.1,72755,49.9,1570,1.1,145885
UKI2,Outer London,138530,41.9,190820,57.7,1105,0.3,330460,,104720,33.1,209545,66.2,2315,0.7,316585
,,,,,,,,,,,,,,,,
E12000001,North East,8985,5.9,143415,94.1,60,0,152460,,6610,4.1,155770,95.8,140,0.1,162525
E12000002,North West,58570,12.8,399510,87.1,390,0.1,458470,,37040,8.7,388320,91.1,915,0.2,426275
E12000003,Yorkshire and the Humber,52805,15.4,289135,84.5,215,0.1,342155,,33585,10.3,291125,89.5,590,0.2,325305
E12000004,East Midlands,31930,11.3,249950,88.5,490,0.2,282375,,25145,8.7,262305,91.1,620,0.2,288065
E12000005,West Midlands,70980,19.4,294600,80.4,745,0.2,366325,,51810,14.4,305670,85.2,1375,0.4,358855
E12000006,East of England,40780,11.4,316960,88.4,710,0.2,358450,,31415,8.2,349345,91.5,1065,0.3,381825
E12000007,London,239025,46.7,270620,52.9,1765,0.3,511405,,176285,38.1,282300,61,3885,0.8,462470
E12000008,South East,57745,10.9,470100,89,430,0.1,528275,,43375,8.6,459500,91,1810,0.4,504685
E12000009,South West,16740,5.4,290160,94.5,300,0.1,307200,,12505,3.9,307445,96,310,0.1,320260
,,,,,,,,,,,,,,,,
E92000001,England,577555,17.5,2724455,82.4,5105,0.2,3307115,,417765,12.9,2801780,86.7,10715,0.3,3230260
