Code,Area,PupilsReading-All,PupilsWriting-All,PupilsMathematics-All,PupilsScience-All,%PassReading-All,%PassWriting-All,%PassMathematics-All,%PassScience-All,%HighReading-All,%HighWriting-All,%HighMathematics-All,,PupilsReading-M,PupilsWriting-M,PupilsMathematics-M,PupilsScience-M,%PassReading-M,%PassWriting-M,%PassMathematics-M,%PassScience-M,%HighReading-M,%HighWriting-M,%HighMathematics-M,,PupilsReading-F,PupilsWriting-F,PupilsMathematics-F,PupilsScience-F,%PassReading-F,%PassWriting-F,%PassMathematics-F,%PassScience-F,%HighReading-F,%HighWriting-F,%HighMathematics-F
E09000013,Hammersmith and Fulham,1465,1465,1465,1465,80,74,81,86,27,20,29,,709,709,709,709,77,70,80,85,26,17,29,,756,756,756,756,82,78,81,87,28,23,23
E09000014,Haringey,3143,3143,3143,3143,77,74,78,84,30,22,31,,1588,1588,1588,1588,73,68,78,83,27,17,31,,1555,1555,1555,1555,81,80,78,86,33,26,24
E09000015,Harrow,3186,3186,3186,3186,79,74,80,86,26,18,27,,1611,1611,1611,1611,75,69,79,84,24,15,27,,1575,1575,1575,1575,82,79,81,88,28,21,23
E09000016,Havering,3208,3208,3208,3208,77,73,78,87,25,17,21,,1669,1669,1669,1669,72,67,77,84,20,11,21,,1539,1539,1539,1539,82,80,80,90,30,22,21
E09000017,Hillingdon,4148,4148,4148,4148,76,70,78,83,27,17,26,,2136,2136,2136,2136,71,64,77,80,24,13,26,,2012,2012,2012,2012,81,77,80,87,31,22,24
E09000018,Hounslow,3419,3419,3419,3419,80,75,81,87,33,22,31,,1782,1782,1782,1782,76,70,80,84,30,18,31,,1637,1637,1637,1637,84,82,83,89,36,27,28
E09000019,Islington,2048,2048,2048,2048,76,72,77,81,27,19,28,,1063,1063,1063,1063,71,66,76,79,22,13,28,,985,985,985,985,80,79,79,84,33,25,24
E09000020,Kensington and Chelsea,998,998,998,998,81,76,82,86,28,18,29,,524,524,524,524,77,69,81,82,23,14,29,,474,474,474,474,85,82,82,89,34,23,24
E09000021,Kingston upon Thames,2000,2000,2000,2000,80,74,80,86,31,19,29,,1009,1009,1009,1009,76,68,80,83,27,15,29,,991,991,991,991,84,79,80,89,34,24,24
E09000022,Lambeth,3111,3111,3111,3111,79,75,80,86,29,20,28,,1591,1591,1591,1591,75,70,78,84,26,16,28,,1520,1520,1520,1520,83,80,81,89,32,25,24
E09000023,Lewisham,3799,3799,3799,3799,78,73,78,83,26,16,25,,1950,1950,1950,1950,75,68,78,81,22,12,25,,1849,1849,1849,1849,81,78,79,85,29,20,19
E09000024,Merton,2520,2520,2520,2520,78,71,78,86,29,18,28,,1291,1291,1291,1291,75,66,78,83,25,13,28,,1229,1229,1229,1229,82,76,79,88,33,22,23
E09000025,Newham,4943,4943,4943,4943,80,76,81,83,28,20,29,,2500,2500,2500,2500,76,71,79,80,25,16,29,,2443,2443,2443,2443,83,82,83,86,31,24,25
E09000026,Redbridge,4244,4244,4244,4244,81,76,81,83,34,21,32,,2190,2190,2190,2190,79,72,81,81,30,17,32,,2054,2054,2054,2054,84,81,81,86,37,26,28
E09000027,Richmond upon Thames,2506,2506,2506,2506,84,77,85,91,40,24,35,,1281,1281,1281,1281,81,71,84,89,35,19,35,,1225,1225,1225,1225,87,83,85,93,45,29,30
E09000028,Southwark,3482,3482,3482,3482,79,74,78,82,26,18,27,,1784,1784,1784,1784,74,68,77,79,24,15,27,,1698,1698,1698,1698,83,81,79,86,27,21,20
E09000029,Sutton,2571,2571,2571,2571,80,75,81,86,31,22,27,,1319,1319,1319,1319,75,68,79,83,26,17,27,,1252,1252,1252,1252,85,82,84,90,36,28,27
E09000030,Tower Hamlets,3407,3407,3407,3407,76,73,77,82,24,17,25,,1742,1742,1742,1742,72,67,75,79,21,14,25,,1665,1665,1665,1665,81,79,80,86,27,20,20
E09000031,Waltham Forest,3660,3660,3660,3660,79,75,81,85,29,21,30,,1879,1879,1879,1879,76,69,79,82,27,18,30,,1781,1781,1781,1781,83,82,82,88,31,24,24
E09000032,Wandsworth,2764,2764,2764,2764,82,78,83,87,32,22,31,,1464,1464,1464,1464,79,74,82,85,28,17,31,,1300,1300,1300,1300,85,83,84,89,36,28,27
E09000033,Westminster,1483,1483,1483,1483,78,73,78,80,25,18,28,,779,779,779,779,74,68,77,78,23,13,28,,704,704,704,704,84,79,79,83,28,23,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,35080,35080,35080,35080,79,75,79,84,27,19,28,,17940,17940,17940,17940,75,69,78,81,24,15,28,,17140,17140,17140,17140,83,80,81,86,30,23,22
E13000002,Outer London,68500,68500,68500,68500,78,73,79,84,29,19,27,,35200,35200,35200,35200,74,67,78,82,25,15,27,,33300,33300,33300,33300,82,79,80,87,32,23,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,30850,30850,30850,30850,77,72,77,83,26,17,24,,15840,15840,15840,15840,72,66,75,80,22,13,24,,15010,15010,15010,15010,81,79,79,86,30,22,21
E12000002,North West,89710,89710,89710,89710,74,68,75,81,23,14,22,,45840,45840,45840,45840,69,61,73,78,20,10,22,,43870,43870,43870,43870,78,75,76,84,26,18,18
E12000003,Yorkshire and the Humber,66600,66600,66600,66600,72,67,74,80,23,14,22,,34210,34210,34210,34210,68,61,73,78,20,11,22,,32390,32390,32390,32390,77,74,75,83,27,19,18
E12000004,East Midlands,57370,57370,57370,57370,73,68,75,82,24,15,23,,29400,29400,29400,29400,69,61,74,80,21,11,23,,27970,27970,27970,27970,78,75,76,84,27,19,18
E12000005,West Midlands,74410,74410,74410,74410,74,69,75,81,24,15,22,,37930,37930,37930,37930,70,62,73,78,20,10,22,,36490,36490,36490,36490,79,76,76,84,28,19,19
E12000006,East,74330,74330,74330,74260,75,70,76,83,27,16,25,,38250,38250,38250,38210,71,63,75,80,23,12,25,,36080,36080,36080,36040,80,76,77,85,30,21,20
E12000007,London,103580,103580,103580,103580,78,73,79,84,28,19,28,,53140,53140,53140,53140,75,68,78,81,25,15,28,,50440,50440,50440,50440,82,79,80,87,32,23,23
E12000008,South East,106500,106500,106500,106500,78,71,78,85,28,17,25,,54770,54770,54770,54770,74,65,76,83,24,12,25,,51730,51730,51730,51730,82,78,79,88,32,21,20
E12000009,South West,61630,61630,61630,61630,75,70,76,84,26,15,23,,31540,31540,31540,31540,71,63,75,82,23,11,23,,30090,30090,30090,30090,80,77,76,86,29,19,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND (state-funded schools),664979,664979,664979,664904,75,70,76,83,26,16,24,,340912,340912,340912,340877,71,63,75,80,22,12,24,,324067,324067,324067,324027,80,77,77,85,29,20,20
,ENGLAND (all schools),665303,665303,665303,665228,75,70,76,83,26,16,24,,341132,341132,341132,341097,71,63,75,80,22,12,24,,324171,324171,324171,324131,80,77,77,85,29,20,20
