Code,Area,PupilsReading-All,PupilsWriting-All,PupilsMathematics-All,PupilsScience-All,%PassReading-All,%PassWriting-All,%PassMathematics-All,%PassScience-All,%HighReading-All,%HighWriting-All,%HighMathematics-All,,PupilsReading-M,PupilsWriting-M,PupilsMathematics-M,PupilsScience-M,%PassReading-M,%PassWriting-M,%PassMathematics-M,%PassScience-M,%HighReading-M,%HighWriting-M,%HighMathematics-M,,PupilsReading-F,PupilsWriting-F,PupilsMathematics-F,PupilsScience-F,%PassReading-F,%PassWriting-F,%PassMathematics-F,%PassScience-F,%HighReading-F,%HighWriting-F,%HighMathematics-F
E09000001,City of London,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*,*
E09000002,Barking and Dagenham,3678,3678,3678,3678,75,70,76,82,27,17,26,,1894,1894,1894,1894,70,63,73,78,24,14,26,,1784,1784,1784,1784,80,78,79,87,29,21,21
E09000003,Barnet,4445,4445,4445,4445,79,73,79,84,27,16,28,,2264,2264,2264,2264,76,68,79,83,24,12,28,,2181,2181,2181,2181,82,79,80,85,30,20,21
E09000004,Bexley,3346,3346,3346,3346,81,76,81,86,30,22,30,,1725,1725,1725,1725,78,71,81,84,27,17,30,,1621,1621,1621,1621,83,81,82,88,34,26,26
E09000005,Brent,3891,3891,3891,3891,75,68,75,81,23,15,23,,2066,2066,2066,2066,70,61,74,77,20,11,23,,1825,1825,1825,1825,80,76,77,85,27,19,18
E09000006,Bromley,4065,4065,4065,4065,81,76,80,86,33,23,32,,2078,2078,2078,2078,79,71,81,85,30,20,32,,1987,1987,1987,1987,83,80,80,88,36,26,24
E09000007,Camden,1678,1678,1678,1678,77,71,76,83,25,14,25,,829,829,829,829,73,65,76,81,22,10,25,,849,849,849,849,81,76,77,85,29,17,18
E09000008,Croydon,4822,4822,4822,4822,77,72,78,85,27,17,26,,2461,2461,2461,2461,74,66,77,82,24,13,26,,2361,2361,2361,2361,81,79,79,87,31,22,24
E09000009,Ealing,4505,4505,4505,4505,75,70,77,82,25,16,25,,2327,2327,2327,2327,72,64,75,79,22,12,25,,2178,2178,2178,2178,79,76,78,85,28,21,21
E09000010,Enfield,4642,4642,4642,4642,73,69,74,77,23,16,22,,2371,2371,2371,2371,69,63,73,75,21,11,22,,2271,2271,2271,2271,76,74,75,80,26,21,19
E09000011,Greenwich,3644,3644,3644,3644,79,76,80,85,31,23,29,,1846,1846,1846,1846,75,70,78,81,27,19,29,,1798,1798,1798,1798,84,82,82,88,35,28,29
E09000012,Hackney,2728,2728,2728,2728,81,77,81,85,27,21,26,,1401,1401,1401,1401,77,72,80,82,24,16,26,,1327,1327,1327,1327,85,83,84,88,31,25,24
