Code,Area,PupilsReading-All,PupilsWriting-All,PupilsMathematics-All,PupilsScience-All,%PassReading-All,%PassWriting-All,%PassMathematics-All,%PassScience-All,%HighReading-All,%HighWriting-All,%HighMathematics-All,,PupilsReading-M,PupilsWriting-M,PupilsMathematics-M,PupilsScience-M,%PassReading-M,%PassWriting-M,%PassMathematics-M,%PassScience-M,%HighReading-M,%HighWriting-M,%HighMathematics-M,,PupilsReading-F,PupilsWriting-F,PupilsMathematics-F,PupilsScience-F,%PassReading-F,%PassWriting-F,%PassMathematics-F,%PassScience-F,%HighReading-F,%HighWriting-F,%HighMathematics-F
E09000001,City of London,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*,*
E09000033,Westminster,1563,1563,1563,1563,77,70,77,80,26,17,22,,806,806,806,806,75,64,76,78,23,16,24,,757,757,757,757,79,75,77,83,29,19,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,34793,34793,34793,34793,78,73,77,83,26,17,23,,17775,17775,17775,17775,75,67,76,80,23,13,25,,17018,17018,17018,17018,82,78,79,85,30,21,20
E13000002,Outer London,67048,67048,67048,67048,77,69,76,83,26,16,22,,34150,34150,34150,34150,73,63,75,81,23,12,24,,32898,32898,32898,32898,81,75,77,86,30,20,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,29528,29528,29528,29528,75,68,74,83,24,14,18,,15168,15168,15168,15168,71,61,73,80,20,10,19,,14360,14360,14360,14360,80,76,76,86,28,19,17
E12000002,North West,87025,87025,87025,87025,72,63,71,80,19,10,15,,44501,44501,44501,44501,67,55,69,78,16,7,17,,42524,42524,42524,42524,76,70,72,83,22,13,13
E12000003,Yorkshire and the Humber,65048,65048,65048,65048,71,63,70,79,21,12,16,,33404,33404,33404,33404,66,55,69,76,18,8,17,,31644,31644,31644,31644,75,70,71,82,24,15,15
E12000004,East Midlands,54817,54817,54817,54817,72,63,70,81,23,13,17,,28057,28057,28057,28057,67,56,69,79,19,9,19,,26760,26760,26760,26760,76,70,71,84,26,17,15
E12000005,West Midlands,70693,70693,70693,70693,73,64,71,79,22,11,16,,36168,36168,36168,36168,68,56,70,77,18,8,18,,34525,34525,34525,34525,77,71,72,82,25,15,14
E12000006,East,71628,71628,71628,71628,75,67,74,82,27,15,20,,36516,36516,36516,36516,71,60,73,80,23,11,22,,35112,35112,35112,35112,80,75,75,85,30,20,18
E12000007,London,101841,101841,101841,101841,77,70,77,83,26,17,22,,51925,51925,51925,51925,74,64,76,81,23,13,24,,49916,49916,49916,49916,81,76,77,86,30,21,20
E12000008,South East,101829,101829,101829,101829,76,67,74,84,26,14,18,,52159,52159,52159,52159,73,60,73,82,22,10,20,,49670,49670,49670,49670,81,74,75,86,30,18,16
E12000009,South West,59189,59189,59189,59186,73,64,71,83,23,12,16,,30354,30354,30354,30351,69,56,70,81,20,8,18,,28835,28835,28835,28835,78,71,71,85,27,16,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND (state-funded schools),641598,641598,641598,641595,74,65,73,82,24,13,18,,328252,328252,328252,328249,70,59,72,79,20,10,19,,313346,313346,313346,313346,78,73,74,84,27,17,16
,ENGLAND (all schools),642032,642032,642032,642029,74,65,73,82,24,13,18,,328478,328478,328478,328475,70,59,72,79,20,10,19,,313554,313554,313554,313554,78,73,74,84,27,17,16
