Code ,Area,Number_FLOE,First_Lang_Other_Eng_Percentage,Number_FLE,First_Lang_Eng_Percentage,Number_UN,Unclassified_Percentage,,,Number_FLOES,First_Lang_Other_Eng_Percentage_Sec,Number_FLES,First_Lang_Eng_Percentage_Sec,Number_UNS,Unclassified_Percentage_Sec,
E09000001,City of London,128,72.3,47,26.6,x,x,175,,.,.,.,.,.,.,.
E09000002,Barking and Dagenham,"8,538",48.2,"9,022",51,143,0.8,"17,705",,"4,652",34.9,"8,614",64.5,81,0.6,"13,345"
E09000003,Barnet,"10,464",46.7,"11,783",52.6,174,0.8,"22,420",,"8,700",38.9,"13,513",60.4,175,0.8,"22,390"
E09000004,Bexley,"2,644",15.9,"14,004",84.1,13,0.1,"16,660",,"2,303",11.4,"17,853",88.2,96,0.5,"20,250"
E09000005,Brent,"13,537",66.7,"6,705",33.1,44,0.2,"20,285",,"10,109",54.6,"8,278",44.7,129,0.7,"18,515"
E09000006,Bromley,"2,280",11.1,"18,210",88.5,80,0.4,"20,570",,"1,698",7.6,"20,293",91.4,206,0.9,"22,195"
E09000007,Camden,"5,549",61.9,"3,386",37.8,28,0.3,"8,965",,"4,630",47,"5,138",52.1,87,0.9,"9,855"
E09000008,Croydon,"8,177",33.1,"16,470",66.7,28,0.1,"24,675",,"4,830",22,"17,031",77.5,112,0.5,"21,975"
E09000009,Ealing,"14,431",63.7,"8,226",36.3,5,0,"22,660",,"9,626",53,"8,520",46.9,5,0,"18,150"
E09000010,Enfield,"11,759",48,"12,523",51.1,212,0.9,"24,495",,"9,387",41.5,"13,080",57.9,141,0.6,"22,610"
E09000011,Greenwich,"7,257",41.7,"10,123",58.2,18,0.1,"17,400",,"4,710",34.5,"8,804",64.4,153,1.1,"13,665"
E09000012,Hackney,"8,149",56,"6,354",43.7,47,0.3,"14,550",,"4,966",44.4,"6,190",55.3,31,0.3,"11,185"
E09000013,Hammersmith and Fulham,"3,815",49.2,"3,935",50.7,6,0.1,"7,755",,"3,419",42.8,"4,507",56.4,65,0.8,"7,990"
E09000014,Haringey,"9,511",54.2,"7,941",45.3,96,0.5,"17,550",,"6,357",47.7,"6,948",52.1,23,0.2,"13,330"
E09000015,Harrow,"9,261",59.4,"6,318",40.5,23,0.1,"15,600",,"6,714",55.9,"5,240",43.6,53,0.4,"12,005"
E09000016,Havering,"1,968",12.2,"14,173",87.6,35,0.2,"16,175",,"1,237",7.5,"15,148",92.2,39,0.2,"16,425"
E09000017,Hillingdon,"8,561",43,"11,275",56.7,51,0.3,"19,885",,"7,035",36.2,"12,382",63.7,34,0.2,"19,450"
E09000018,Hounslow,"9,956",61,"6,254",38.3,100,0.6,"16,310",,"8,680",52.6,"7,787",47.2,48,0.3,"16,515"
E09000019,Islington,"4,762",44.7,"5,878",55.2,9,0.1,"10,650",,"4,089",49.5,"4,147",50.2,30,0.4,"8,265"
E09000020,Kensington and Chelsea,"3,149",55.7,"2,498",44.2,x,x,"5,650",,"2,125",49.8,"2,143",50.2,x,x,"4,270"
E09000021,Kingston upon Thames,"3,283",33.1,"6,628",66.8,9,0.1,"9,920",,"2,787",27.8,"7,195",71.8,37,0.4,"10,020"
E09000022,Lambeth,"8,514",49.9,"8,510",49.9,47,0.3,"17,070",,"4,464",40.6,"6,496",59.1,30,0.3,"10,990"
E09000023,Lewisham,"6,079",33.1,"12,107",65.9,196,1.1,"18,380",,"3,770",26.7,"10,206",72.3,148,1,"14,125"
E09000024,Merton,"5,668",44,"7,211",56,x,x,"12,880",,"2,879",33,"5,848",67,0,0,"8,725"
E09000025,Newham,"19,438",74.8,"6,435",24.8,110,0.4,"25,985",,"12,820",68.1,"5,955",31.6,61,0.3,"18,835"
E09000026,Redbridge,"13,419",61.9,"8,224",38,21,0.1,"21,665",,"12,517",55.6,"9,952",44.2,50,0.2,"22,520"
E09000027,Richmond upon Thames,"2,431",20.4,"9,464",79.2,47,0.4,"11,940",,"1,317",19.1,"5,554",80.7,13,0.2,"6,885"
E09000028,Southwark,"8,112",45.1,"9,740",54.2,120,0.7,"17,970",,"5,169",37.7,"8,374",61,185,1.3,"13,730"
E09000029,Sutton,"2,792",22.9,"9,373",77,12,0.1,"12,175",,"3,132",17.8,"14,405",81.8,73,0.4,"17,610"
E09000030,Tower Hamlets,"14,194",76.1,"4,421",23.7,28,0.2,"18,645",,"10,637",69.1,"4,683",30.4,65,0.4,"15,385"
E09000031,Waltham Forest,"10,098",55.3,"8,093",44.3,79,0.4,"18,270",,"6,625",44.2,"8,324",55.5,49,0.3,"15,000"
E09000032,Wandsworth,"6,225",44.7,"7,704",55.3,4,0,"13,935",,"4,659",41.1,"6,584",58.1,82,0.7,"11,325"
E09000033,Westminster,"6,307",72.3,"2,402",27.5,18,0.2,"8,725",,"5,891",61.1,"3,679",38.2,73,0.8,"9,645"
,,,,,,,,,,,,,,,,
UKI1,Inner London,"103,930",55.9,"81,360",43.7,715,0.4,"186,005",,"72,995",49,"75,050",50.4,880,0.6,"148,930"
UKI2,Outer London,"146,525",42.9,"194,080",56.8,"1,095",0.3,"341,700",,"108,940",34.2,"207,820",65.3,"1,495",0.5,"318,255"
,,,,,,,,,,,,,,,,
E12000001,North East,"9,445",6.1,"145,225",93.8,125,0.1,"154,795",,"7,010",4.4,"152,245",95.5,150,0.1,"159,405"
E12000002,North West,"61,850",13.2,"404,705",86.7,310,0.1,"466,865",,"38,610",9.2,"380,965",90.6,870,0.2,"420,445"
E12000003,Yorkshire and the Humber,"55,540",15.8,"294,815",84.1,235,0.1,"350,585",,"36,240",11.3,"283,430",88.5,505,0.2,"320,170"
E12000004,East Midlands,"31,930",11.3,"249,950",88.5,490,0.2,"282,375",,"26,430",9.3,"257,620",90.5,510,0.2,"284,555"
E12000005,West Midlands,"70,980",19.4,"294,600",80.4,745,0.2,"366,325",,"53,150",14.9,"301,545",84.7,"1,255",0.4,"355,950"
E12000006,East of England,"40,780",11.4,"316,960",88.4,710,0.2,"358,450",,"33,515",8.9,"343,690",90.9,"1,000",0.3,"378,205"
E12000007,London,"239,025",46.7,"270,620",52.9,"1,765",0.3,"511,405",,"181,935",38.9,"282,870",60.5,"2,375",0.5,"467,180"
E12000008,South East,"57,745",10.9,"470,100",89,430,0.1,"528,275",,"45,705",9.1,"454,510",90.6,"1,305",0.3,"501,520"
E12000009,South West,"16,740",5.4,"290,160",94.5,300,0.1,"307,200",,"13,560",4.3,"302,785",95.6,265,0.1,"316,610"
,,,,,,,,,,,,,,,,
E92000001,England,"577,555",17.5,"2,724,455",82.4,"5,105",0.2,"3,307,115",,"436,150",13.6,"2,759,655",86.1,"8,230",0.3,"3,204,040"
