Code,Area,16 or under,17-19,20-23,24+,Still in education,Never had education,,16 or under-95,17-19-95,20-23-95,24+-95,Still in education-95,Never had education-95
E09000030,Tower Hamlets,"38,000","32,000","55,000","26,000","25,000","7,000",,"6,000","6,000","8,000","6,000","5,000","3,000"
E09000031,Waltham Forest,"47,000","46,000","44,000","17,000","19,000","4,000",,"7,000","8,000","7,000","4,000","5,000","2,000"
E09000032,Wandsworth,"24,000","50,000","110,000","25,000","19,000",-,,"6,000","9,000","14,000","6,000","5,000",-
E09000033,Westminster,"22,000","26,000","75,000","29,000","14,000",-,,"4,000","5,000","9,000","5,000","3,000",-
,,,,,,,,,,,,,,
E12000001,North East,"995,000","378,000","245,000","48,000","127,000",-,,"22,000","14,000","11,000","5,000","9,000",-
E12000002,North West,"2,445,000","1,059,000","835,000","144,000","354,000","11,000",,"41,000","28,000","26,000","11,000","17,000","3,000"
E12000003,Yorkshire and The Humber,"1,781,000","846,000","593,000","115,000","269,000","11,000",,"37,000","26,000","23,000","10,000","16,000","3,000"
E12000004,East Midlands,"1,475,000","804,000","512,000","88,000","236,000","6,000",,"41,000","31,000","24,000","10,000","17,000","2,000"
E12000005,West Midlands,"1,887,000","883,000","607,000","114,000","291,000","13,000",,"40,000","28,000","24,000","10,000","17,000","4,000"
E12000006,East,"1,729,000","1,106,000","760,000","136,000","253,000",-,,"44,000","36,000","31,000","13,000","18,000",-
E12000007,London,"1,367,000","1,448,000","1,856,000","590,000","511,000","52,000",,"39,000","41,000","48,000","27,000","25,000","8,000"
E12000008,South East,"2,197,000","1,707,000","1,299,000","257,000","417,000","7,000",,"44,000","40,000","34,000","15,000","20,000","2,000"
E12000009,South West,"1,507,000","1,012,000","684,000","131,000","245,000","3,000",,"34,000","30,000","24,000","11,000","15,000","2,000"
,,,,,,,,,,,,,,
E92000001,England,"15,382,000","9,244,000","7,389,000","1,623,000","2,703,000","105,000",,"112,000","92,000","84,000","40,000","52,000","10,000"
W92000004,Wales,"963,000","548,000","354,000","62,000","160,000","1,000",,"18,000","14,000","11,000","5,000","8,000","1,000"
S92000003,Scotland,"1,649,000","915,000","697,000","163,000","258,000","4,000",,"28,000","21,000","19,000","10,000","13,000","2,000"
N92000002,Northern Ireland,"516,000","318,000","240,000","52,000","106,000","3,000",,"23,000","18,000","16,000","7,000","10,000","2,000"
,,,,,,,,,,,,,,
K02000001,UK,"18,510,000","11,025,000","8,680,000","1,899,000","3,227,000","113,000",,"115,000","94,000","86,000","41,000","54,000","10,000"
