Code,Area,PupilsReading-All,PupilsWriting-All,PupilsMathematics-All,%PassReading-All,%PassWriting-All,%PassMathematics-All,%HighReading-All,%HighWriting-All,%HighMathematics-All,PupilsReading-M,PupilsWriting-M,PupilsMathematics-M,%PassReading-M,%PassWriting-M,%PassMathematics-M,%HighReading-M,%HighWriting-M,%HighMathematics-M,PupilsReading-F,PupilsWriting-F,PupilsMathematics-F,%PassReading-F,%PassWriting-F,%PassMathematics-F,%HighReading-F,%HighWriting-F,%HighMathematics-F
E09000001,City of London,28,28,28,93,96,100,18,18,18,16,16,16,94,94,100,13,25,25,12,12,12,92,100,100,25,8,8
E09000002,Barking and Dagenham,"3,046","3,046","3,046",65,78,77,15,30,19,"1,522","1,522","1,522",62,74,75,12,24,20,"1,524","1,524","1,524",68,82,78,18,35,18
E09000003,Barnet,"3,730","3,732","3,732",73,80,77,24,32,25,"1,886","1,888","1,888",70,77,77,22,29,27,"1,844","1,844","1,844",76,84,78,26,35,22
E09000004,Bexley,"2,972","2,972","2,972",70,78,75,20,27,20,"1,501","1,501","1,501",67,73,75,18,24,22,"1,471","1,471","1,471",74,82,75,23,30,17
E09000005,Brent,"3,434","3,434","3,433",64,77,75,16,30,24,"1,818","1,818","1,817",62,74,76,15,27,25,"1,616","1,616","1,616",67,79,74,17,33,22
E09000006,Bromley,"3,402","3,402","3,402",79,81,81,27,31,26,"1,737","1,737","1,737",76,78,82,26,28,29,"1,665","1,665","1,665",81,84,80,29,34,23
E09000007,Camden,"1,509","1,509","1,509",72,79,79,23,31,24,747,747,747,70,74,79,21,28,27,762,762,762,74,84,79,25,34,21
E09000008,Croydon,"4,161","4,161","4,161",66,75,70,17,26,19,"2,065","2,065","2,065",62,70,69,16,22,21,"2,096","2,096","2,096",70,80,71,19,29,17
E09000009,Ealing,"3,849","3,849","3,849",65,78,75,18,27,20,"1,994","1,994","1,994",62,74,75,16,24,23,"1,855","1,855","1,855",68,82,74,19,30,18
E09000010,Enfield,"4,092","4,092","4,092",61,75,72,15,25,17,"2,129","2,129","2,129",57,70,71,12,22,18,"1,963","1,963","1,963",66,81,73,17,28,15
E09000011,Greenwich,"2,931","2,931","2,931",73,78,78,22,28,23,"1,519","1,519","1,519",71,75,77,19,24,24,"1,412","1,412","1,412",76,81,78,25,32,22
E09000012,Hackney,"2,429","2,429","2,429",71,77,78,21,25,19,"1,256","1,256","1,256",68,74,77,18,22,20,"1,173","1,173","1,173",75,82,79,24,28,18
E09000013,Hammersmith and Fulham,"1,270","1,270","1,270",74,82,79,24,30,19,633,633,633,70,79,79,21,26,22,637,637,637,77,85,79,27,34,16
E09000014,Haringey,"2,852","2,852","2,852",64,76,74,20,26,21,"1,462","1,462","1,462",62,72,74,19,24,23,"1,390","1,390","1,390",67,80,74,21,28,19
