Code,Area,PupilsReading-All,PupilsWriting-All,PupilsMathematics-All,%PassReading-All,%PassWriting-All,%PassMathematics-All,%HighReading-All,%HighWriting-All,%HighMathematics-All,PupilsReading-M,PupilsWriting-M,PupilsMathematics-M,%PassReading-M,%PassWriting-M,%PassMathematics-M,%HighReading-M,%HighWriting-M,%HighMathematics-M,PupilsReading-F,PupilsWriting-F,PupilsMathematics-F,%PassReading-F,%PassWriting-F,%PassMathematics-F,%HighReading-F,%HighWriting-F,%HighMathematics-F
E09000015,Harrow,"2,668","2,668","2,668",72,82,79,24,37,28,"1,350","1,350","1,350",69,78,78,22,31,30,"1,318","1,318","1,318",75,87,80,26,42,27
E09000016,Havering,"2,856","2,856","2,857",73,80,77,22,27,19,"1,399","1,398","1,399",69,75,77,20,22,21,"1,457","1,458","1,458",77,85,76,24,32,17
E09000017,Hillingdon,"3,472","3,472","3,472",70,80,76,19,31,24,"1,811","1,811","1,811",67,76,78,18,27,27,"1,661","1,661","1,661",72,83,75,21,34,22
E09000018,Hounslow,"2,677","2,677","2,677",67,80,77,22,32,24,"1,373","1,373","1,373",63,74,75,19,28,25,"1,304","1,304","1,304",72,85,79,26,37,23
E09000019,Islington,"1,761","1,761","1,761",68,77,75,22,28,20,897,897,897,64,72,73,18,23,20,864,864,864,72,82,77,26,33,20
E09000020,Kensington and Chelsea,913,913,913,79,87,85,30,42,29,456,456,456,76,83,85,27,37,30,457,457,457,83,91,84,33,47,28
E09000021,Kingston upon Thames,"1,708","1,708","1,708",75,80,79,28,32,26,851,851,851,73,76,78,24,25,28,857,857,857,77,83,79,33,39,24
E09000022,Lambeth,"2,771","2,771","2,771",73,79,80,23,28,22,"1,380","1,380","1,380",70,76,80,20,24,24,"1,391","1,391","1,391",75,82,79,26,32,21
E09000023,Lewisham,"3,185","3,185","3,185",67,75,73,19,24,18,"1,648","1,648","1,648",62,69,71,15,20,19,"1,537","1,537","1,537",72,81,75,23,28,17
E09000024,Merton,"2,013","2,013","2,013",70,78,76,22,30,25,987,987,987,66,75,76,18,26,25,"1,026","1,026","1,026",73,80,76,25,35,24
E09000025,Newham,"4,396","4,396","4,396",69,82,80,18,32,25,"2,253","2,253","2,253",65,78,80,15,26,26,"2,143","2,143","2,143",73,86,80,21,38,23
E09000026,Redbridge,"3,669","3,669","3,669",68,78,76,19,29,28,"1,919","1,919","1,919",63,73,75,16,25,28,"1,750","1,750","1,750",73,82,76,23,34,27
E09000027,Richmond upon Thames,"1,989","1,989","1,989",81,85,82,36,40,31,978,978,978,79,84,83,32,35,34,"1,011","1,011","1,011",83,87,81,40,44,28
E09000028,Southwark,"3,064","3,064","3,060",67,76,74,19,25,19,"1,550","1,550","1,547",62,72,72,16,22,20,"1,514","1,514","1,513",73,81,76,21,28,18
E09000029,Sutton,"2,005","2,005","2,005",74,80,80,25,37,30,"1,007","1,007","1,007",71,76,81,21,31,32,998,998,998,76,84,79,28,42,28
E09000030,Tower Hamlets,"3,009","3,009","3,009",72,82,79,18,26,20,"1,520","1,520","1,520",68,77,78,15,21,22,"1,489","1,489","1,489",76,87,80,21,32,19
E09000031,Waltham Forest,"2,989","2,989","2,989",65,75,76,15,24,21,"1,599","1,599","1,599",61,71,76,12,19,21,"1,390","1,390","1,390",68,80,76,19,29,21
E09000032,Wandsworth,"2,198","2,198","2,198",70,78,75,25,31,23,"1,119","1,119","1,119",67,75,76,23,27,26,"1,079","1,079","1,079",74,82,74,27,35,21
E09000033,Westminster,"1,420","1,420","1,420",66,80,76,18,30,22,710,710,710,65,76,77,16,29,27,710,710,710,67,84,74,19,32,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,"30,805","30,805","30,801",70,79,77,21,28,21,"15,647","15,647","15,644",66,75,76,18,24,23,"15,158","15,158","15,157",73,83,78,23,32,20
E13000002,Outer London,"57,663","57,665","57,665",69,78,76,21,30,23,"29,445","29,446","29,446",66,75,76,18,26,25,"28,218","28,219","28,219",73,83,76,23,34,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"27,869","27,869","27,869",68,74,73,19,22,17,"14,194","14,194","14,194",65,70,73,16,18,19,"13,675","13,675","13,675",72,79,74,22,27,15
E12000002,North West,"80,319","80,316","80,317",66,74,71,17,22,16,"41,138","41,135","41,136",62,69,71,15,18,17,"39,181","39,181","39,181",70,78,71,20,26,14
E12000003,Yorkshire and the Humber,"59,579","59,576","59,576",62,70,67,16,19,14,"30,215","30,212","30,213",57,64,67,13,15,16,"29,364","29,364","29,363",66,76,68,19,24,13
E12000004,East Midlands,"49,784","49,782","49,783",64,71,68,17,21,14,"25,455","25,453","25,454",60,66,69,14,17,16,"24,329","24,329","24,329",68,77,68,19,25,13
E12000005,West Midlands,"65,436","65,435","65,433",64,72,68,16,22,15,"33,472","33,472","33,471",59,67,68,14,18,17,"31,964","31,963","31,962",68,77,67,19,26,13
E12000006,East,"64,541","64,539","64,538",66,71,68,19,22,16,"33,031","33,029","33,029",62,66,68,16,18,17,"31,510","31,510","31,509",70,77,67,22,26,14
E12000007,London,"88,468","88,470","88,466",69,79,77,21,29,23,"45,092","45,093","45,090",66,75,76,18,25,24,"43,376","43,377","43,376",73,83,77,23,33,21
E12000008,South East,"90,894","90,892","90,890",69,73,70,22,23,17,"46,590","46,590","46,589",66,68,71,19,19,19,"44,304","44,302","44,301",73,78,70,25,27,15
E12000009,South West,"54,281","54,281","54,280",68,71,68,21,21,15,"27,508","27,508","27,508",64,66,68,18,17,17,"26,773","26,773","26,772",72,77,68,24,25,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND (state-funded schools),"581,171","581,160","581,152",66,73,70,19,23,17,"296,695","296,686","296,684",63,68,70,16,19,18,"284,476","284,474","284,468",70,78,70,22,27,15
,ENGLAND (all schools)3,"592,253","592,203","592,240",66,73,70,19,23,17,"302,417","302,383","302,416",62,68,70,16,18,18,"289,836","289,820","289,824",70,78,70,22,27,15
