Code,Area,16 or under,17-19,20-23,24+,Still in education,Never had education,,16 or under-95,17-19-95,20-23-95,24+-95,Still in education-95,Never had education-95
E09000030,Tower Hamlets,"43,000","41,000","57,000","26,000","23,000","4,000",,"7,000","7,000","9,000","6,000","5,000","2,000"
E09000031,Waltham Forest,"44,000","45,000","55,000","15,000","18,000","5,000",,"7,000","8,000","9,000","4,000","5,000","2,000"
E09000032,Wandsworth,"32,000","40,000","117,000","25,000","14,000",-,,"7,000","8,000","15,000","7,000","5,000",-
E09000033,Westminster,"24,000","28,000","68,000","33,000","11,000",-,,"4,000","5,000","8,000","6,000","3,000",-
,,,,,,,,,,,,,,
E12000001,North East,"962,000","399,000","254,000","47,000","135,000","1,000",,"22,000","14,000","11,000","5,000","9,000","1,000"
E12000002,North West,"2,386,000","1,080,000","864,000","160,000","349,000","9,000",,"40,000","28,000","26,000","11,000","17,000","3,000"
E12000003,Yorkshire and The Humber,"1,737,000","867,000","622,000","122,000","263,000","9,000",,"37,000","27,000","24,000","10,000","16,000","3,000"
E12000004,East Midlands,"1,486,000","786,000","533,000","95,000","230,000","4,000",,"41,000","31,000","24,000","10,000","16,000","2,000"
E12000005,West Midlands,"1,850,000","898,000","645,000","116,000","282,000","11,000",,"41,000","29,000","25,000","11,000","17,000","3,000"
E12000006,East,"1,703,000","1,122,000","763,000","162,000","252,000","5,000",,"43,000","36,000","30,000","14,000","17,000","2,000"
E12000007,London,"1,352,000","1,457,000","1,962,000","582,000","483,000","41,000",,"39,000","42,000","49,000","26,000","24,000","7,000"
E12000008,South East,"2,149,000","1,713,000","1,359,000","269,000","410,000","5,000",,"44,000","40,000","35,000","15,000","20,000","2,000"
E12000009,South West,"1,464,000","1,060,000","710,000","124,000","235,000","4,000",,"34,000","30,000","25,000","10,000","15,000","2,000"
,,,,,,,,,,,,,,
E92000001,England,"15,089,000","9,382,000","7,712,000","1,677,000","2,638,000","90,000",,"112,000","93,000","86,000","40,000","51,000","9,000"
W92000004,Wales,"930,000","548,000","381,000","65,000","161,000","2,000",,"17,000","14,000","12,000","5,000","8,000","1,000"
S92000003,Scotland,"1,623,000","942,000","692,000","158,000","267,000","7,000",,"28,000","22,000","19,000","9,000","13,000","3,000"
N92000002,Northern Ireland,"498,000","329,000","239,000","57,000","113,000","3,000",,"22,000","19,000","16,000","8,000","11,000","2,000"
,,,,,,,,,,,,,,
K02000001,UK,"18,140,000","11,201,000","9,023,000","1,957,000","3,179,000","102,000",,"115,000","95,000","88,000","41,000","53,000","10,000"
