Code ,Area,Number_FLOE,First_Lang_Other_Eng_Percentage,Number_FLE,First_Lang_Eng_Percentage,Number_UN,Unclassified_Percentage,,,Number_FLOES,First_Lang_Other_Eng_Percentage_Sec,Number_FLES,First_Lang_Eng_Percentage_Sec,Number_UNS,Unclassified_Percentage_Sec,
00AA,City of London,119,66.1,61,33.9,0,.,180,,.,.,.,.,.,.,.
00AB,Barking and Dagenham,"4,603",32.2,"9,652",67.6,22,0.2,"14,280",,"2,983",23.4,"9,735",76.5,9,0.1,"12,727"
00AC,Barnet,"8,080",39.7,"12,257",60.2,24,0.1,"20,360",,"7,951",37.9,"12,849",61.3,163,0.8,"20,963"
00AD,Bexley,"1,564",9.8,"14,434",90.1,14,0.1,"16,010",,"1,934",9.9,"17,390",88.7,292,1.5,"19,616"
00AE,Brent,"11,347",62.9,"6,664",37,14,0.1,"18,030",,"9,468",52.9,"8,230",46,195,1.1,"17,893"
00AF,Bromley,"1,363",6.9,"18,287",92.8,62,0.3,"19,710",,"1,253",5.6,"20,205",90.9,770,3.5,"22,228"
00AG,Camden,"5,127",59.2,"3,537",40.8,X,0,"8,670",,"4,668",46.4,"5,343",53.1,47,0.5,"10,058"
00AH,Croydon,"5,892",25.7,"17,032",74.2,29,0.1,"22,950",,"4,370",21.1,"16,283",78.5,81,0.4,"20,734"
00AJ,Ealing,"11,530",57.7,"8,458",42.3,7,0,"20,000",,"7,923",47,"8,916",52.9,3,0,"16,842"
00AK,Enfield,"9,467",43.4,"12,302",56.4,49,0.2,"21,820",,"7,904",35.8,"14,029",63.6,127,0.6,"22,060"
00AL,Greenwich,"5,518",34.9,"10,265",64.9,33,0.2,"15,820",,"4,395",29.5,"10,208",68.5,306,2.1,"14,909"
00AM,Hackney,"7,184",54.3,"6,042",45.7,X,0,"13,230",,"3,563",46.3,"4,126",53.6,10,0.1,"7,699"
00AN,Hammersmith and Fulham,"3,357",46.7,"3,826",53.2,3,0,"7,190",,"2,689",39.9,"4,033",59.9,10,0.1,"6,732"
00AP,Haringey,"8,645",52.9,"7,677",46.9,32,0.2,"16,350",,"5,735",46.4,"6,619",53.6,4,0,"12,358"
00AQ,Harrow,"8,393",52.5,"7,599",47.5,3,0,"16,000",,"3,701",41.2,"5,278",58.8,X,0,"8,981"
00AR,Havering,"1,107",7,"14,624",92.9,10,0.1,"15,740",,695,4.2,"15,614",94.2,269,1.6,"16,578"
00AS,Hillingdon,"6,175",33.8,"12,063",66,26,0.1,"18,260",,"5,014",27.2,"13,364",72.6,31,0.2,"18,409"
00AT,Hounslow,"7,674",53.2,"6,740",46.7,7,0,"14,420",,"8,528",51.5,"7,858",47.4,189,1.1,"16,575"
00AU,Islington,"4,411",42,"6,090",58,3,0,"10,500",,"3,868",47.4,"4,277",52.5,8,0.1,"8,153"
00AW,Kensington and Chelsea,"2,893",53.9,"2,477",46.1,0,0,"5,370",,"1,608",46.6,"1,839",53.4,0,0,"3,447"
00AX,Kingston upon Thames,"2,375",26.8,"6,491",73.2,6,0.1,"8,870",,"2,248",23.3,"7,337",75.9,76,0.8,"9,661"
00AY,Lambeth,"7,174",47.1,"8,048",52.8,16,0.1,"15,240",,"3,804",41.7,"5,326",58.3,3,0,"9,133"
00AZ,Lewisham,"5,150",31.5,"11,096",67.9,85,0.5,"16,330",,"3,340",25.2,"9,744",73.5,171,1.3,"13,255"
00BA,Merton,"3,630",33.4,"7,237",66.6,0,0,"10,870",,"2,590",30.7,"5,809",68.8,47,0.6,"8,446"
00BB,Newham,"16,686",72.6,"6,230",27.1,52,0.2,"22,970",,"12,123",67.2,"5,778",32,131,0.7,"18,032"
00BC,Redbridge,"10,440",55.5,"8,365",44.5,10,0.1,"18,820",,"10,404",49.1,"10,707",50.5,92,0.4,"21,203"
00BD,Richmond upon Thames,"1,751",16.8,"8,674",83.1,14,0.1,"10,440",,"1,141",16.5,"5,740",82.9,38,0.5,"6,920"
00BE,Southwark,"6,868",40.5,"9,961",58.8,122,0.7,"16,950",,"5,193",40.5,"7,500",58.4,142,1.1,"12,835"
00BF,Sutton,"1,701",14.9,"9,734",85,13,0.1,"11,450",,"2,143",13,"14,284",86.7,40,0.2,"16,467"
00BG,Tower Hamlets,"12,931",77,"3,864",23,3,0,"16,800",,"10,219",70.6,"4,064",28.1,199,1.4,"14,482"
00BH,Waltham Forest,"8,025",48.2,"8,628",51.8,6,0,"16,660",,"5,266",38.1,"8,536",61.8,8,0.1,"13,810"
00BJ,Wandsworth,"5,437",41.6,"7,630",58.4,X,0,"13,070",,"4,249",37.1,"7,110",62.1,95,0.8,"11,454"
00BK,Westminster,"5,821",69.1,"2,599",30.9,X,0,"8,420",,"5,207",61.4,"3,250",38.3,18,0.2,"8,475"
,,,,,,,,,,,,,,,,
1B,Inner London,"91,800",53.6,"79,140",46.2,320,0.2,"171,260",,"66,270",48.7,"69,010",50.7,840,0.6,"136,113"
1C,Outer London,"110,640",35.6,"199,510",64.3,350,0.1,"310,490",,"89,910",29.5,"212,370",69.6,"2,740",0.9,"305,022"
,,,,,,,,,,,,,,,,
A,North East,"7,270",4.7,"147,460",95.2,90,0.1,"154,820",,"5,280",3,"168,190",96.9,70,0,"173,548"
