Code ,Area,Number_FLOE,First_Lang_Other_Eng_Percentage,Number_FLE,First_Lang_Eng_Percentage,Number_UN,Unclassified_Percentage,,,Number_FLOES,First_Lang_Other_Eng_Percentage_Sec,Number_FLES,First_Lang_Eng_Percentage_Sec,Number_UNS,Unclassified_Percentage_Sec,
E09000001,City of London,105,59,72,41,0,0,177,,0,.,0,.,0,.,0
E09000002,Barking and Dagenham,"11,845",56,"9,141",44,12,0,"20,998",,"6,309",42,"8,465",57,160,1,"14,934"
E09000003,Barnet,"12,581",51,"12,056",49,20,0,"24,657",,"9,460",38,"15,199",61,80,0,"24,739"
E09000004,Bexley,"3,498",19,"14,781",81,16,0,"18,295",,"2,812",14,"17,589",86,84,0,"20,485"
E09000005,Brent,"15,335",69,"6,673",30,59,0,"22,067",,"10,870",56,"7,931",41,498,3,"19,299"
E09000006,Bromley,"3,366",15,"19,366",85,52,0,"22,784",,"2,042",9,"19,735",90,122,1,"21,899"
E09000007,Camden,"5,830",61,"3,654",38,9,0,"9,493",,"5,238",52,"4,624",46,117,1,"9,979"
E09000008,Croydon,"9,902",36,"17,373",64,63,0,"27,338",,"5,766",26,"16,027",73,251,1,"22,044"
E09000009,Ealing,"16,695",65,"9,172",35,2,0,"25,869",,"10,335",54,"8,602",45,94,0,"19,031"
E09000010,Enfield,"13,568",50,"13,247",49,65,0,"26,880",,"10,400",46,"12,269",54,118,1,"22,787"
E09000011,Greenwich,"8,213",41,"11,838",59,39,0,"20,090",,"5,430",36,"9,347",63,143,1,"14,920"
E09000012,Hackney,"8,253",52,"7,653",48,31,0,"15,937",,"6,130",46,"7,073",53,45,0,"13,248"
E09000013,Hammersmith and Fulham,"4,100",50,"4,112",50,3,0,"8,215",,"3,563",39,"5,523",61,28,0,"9,114"
E09000014,Haringey,"10,477",56,"8,128",44,16,0,"18,621",,"6,224",47,"7,092",53,39,0,"13,355"
E09000015,Harrow,"11,424",66,"5,907",34,16,0,"17,347",,"8,168",60,"5,334",39,32,0,"13,534"
E09000016,Havering,"3,523",19,"14,733",81,29,0,"18,285",,"1,828",11,"14,070",88,88,1,"15,986"
E09000017,Hillingdon,"11,274",48,"11,990",51,81,0,"23,345",,"8,532",43,"11,396",57,46,0,"19,974"
E09000018,Hounslow,"12,059",63,"6,919",36,30,0,"19,008",,"9,272",55,"7,611",45,35,0,"16,918"
E09000019,Islington,"5,033",43,"6,582",57,5,0,"11,620",,"3,806",44,"4,709",55,48,1,"8,563"
E09000020,Kensington and Chelsea,"3,141",54,"2,693",46,5,0,"5,839",,"2,359",47,"2,656",53,31,1,"5,046"
E09000021,Kingston upon Thames,"4,018",36,"7,287",64,5,0,"11,310",,"3,141",31,"6,824",68,60,1,"10,025"
E09000022,Lambeth,"8,837",51,"8,398",49,50,0,"17,285",,"6,396",45,"7,721",55,41,0,"14,158"
E09000023,Lewisham,"6,773",34,"13,174",66,100,0,"20,047",,"4,159",29,"10,093",70,142,1,"14,394"
E09000024,Merton,"6,872",47,"7,649",53,3,0,"14,524",,"3,210",36,"5,600",63,28,0,"8,838"
E09000025,Newham,"20,676",74,"7,142",26,104,0,"27,922",,"15,131",66,"7,626",33,85,0,"22,842"
E09000026,Redbridge,"15,538",66,"7,859",34,43,0,"23,440",,"14,313",57,"10,666",43,29,0,"25,008"
E09000027,Richmond upon Thames,"3,604",26,"10,503",74,8,0,"14,115",,"1,683",19,"7,105",81,7,0,"8,795"
E09000028,Southwark,"9,007",46,"10,420",53,194,1,"19,621",,"5,540",36,"9,624",62,428,3,"15,592"
E09000029,Sutton,"4,066",28,"10,294",72,19,0,"14,379",,"4,224",23,"14,071",77,64,0,"18,359"
E09000030,Tower Hamlets,"15,111",76,"4,715",24,14,0,"19,840",,"11,787",70,"5,062",30,44,0,"16,893"
E09000031,Waltham Forest,"10,615",54,"9,166",46,57,0,"19,838",,"7,142",46,"8,411",54,32,0,"15,585"
E09000032,Wandsworth,"7,216",46,"8,375",54,24,0,"15,615",,"5,299",45,"6,346",54,35,0,"11,680"
E09000033,Westminster,"5,976",69,"2,676",31,14,0,"8,666",,"6,855",61,"4,346",39,40,0,"11,241"
,,,,,,,,,,,,,,,,
E13000001,Inner London,"110,535",56,"87,794",44,569,0,"198,898",,"82,487",50,"82,495",50,"1,123",1,"166,105"
E13000002,Outer London,"177,996",46,"205,954",54,619,0,"384,569",,"124,937",38,"206,252",62,"1,971",1,"333,160"
,,,,,,,,,,,,,,,,
E12000001,North East,"12,812",8,"155,041",92,83,0,"167,936",,"8,572",6,"145,470",94,121,0,"154,163"
E12000002,North West,"80,667",16,"431,769",84,332,0,"512,768",,"47,776",12,"366,959",88,623,0,"415,358"
E12000003,Yorkshire and the Humber,"68,398",18,"312,936",82,241,0,"381,575",,"42,523",13,"275,199",86,696,0,"318,418"
E12000004,East Midlands,"49,778",15,"273,185",84,405,0,"323,368",,"32,458",12,"244,284",88,493,0,"277,235"
E12000005,West Midlands,"92,491",23,"318,141",77,400,0,"411,032",,"65,230",18,"294,692",82,"1,085",0,"361,007"
E12000006,East of England,"64,384",16,"349,505",84,347,0,"414,236",,"41,872",11,"329,659",89,639,0,"372,170"
E12000007,London,"288,531",49,"293,748",50,"1,188",0,"583,467",,"207,424",42,"288,747",58,"3,094",1,"499,265"
E12000008,South East,"85,710",14,"511,077",86,502,0,"597,289",,"55,997",11,"446,699",89,778,0,"503,474"
E12000009,South West,"28,312",8,"314,432",92,171,0,"342,915",,"18,231",6,"290,524",94,582,0,"309,337"
,,,,,,,,,,,,,,,,
E92000001,England,"771,083",21,"2,959,834",79,"3,669",0,"3,734,586",,"520,083",16,"2,682,233",84,"8,111",0,"3,210,427"
