Code,Area,16 or under,17-19,20-23,24+,Still in education,Never had education,,16 or under-95,17-19-95,20-23-95,24+-95,Still in education-95,Never had education-95
E12000004,East Midlands,"1,284,000","898,000","654,000","109,000","237,000","4,000",,"41,000","35,000","30,000","12,000","19,000","2,000"
E12000005,West Midlands,"1,589,000","1,056,000","788,000","141,000","287,000","9,000",,"39,000","33,000","29,000","12,000","18,000","3,000"
E12000006,East,"1,498,000","1,245,000","884,000","195,000","231,000","9,000",,"44,000","41,000","35,000","16,000","18,000","3,000"
E12000007,London,"1,201,000","1,509,000","2,247,000","758,000","465,000","39,000",,"42,000","49,000","61,000","35,000","27,000","8,000"
E12000008,South East,"1,776,000","1,851,000","1,622,000","329,000","396,000","10,000",,"45,000","47,000","43,000","19,000","22,000","3,000"
E12000009,South West,"1,275,000","1,120,000","835,000","159,000","235,000",-,,"34,000","33,000","28,000","12,000","16,000",-
,,,,,,,,,,,,,,
E92000001,England,"12,999,000","10,286,000","9,158,000","2,075,000","2,585,000","102,000",,"112,000","106,000","103,000","50,000","55,000","11,000"
W92000004,Wales,"771,000","607,000","451,000","89,000","154,000",-,,"17,000","16,000","14,000","6,000","9,000",-
S92000003,Scotland,"1,385,000","1,002,000","849,000","221,000","250,000","6,000",,"28,000","25,000","24,000","12,000","14,000","2,000"
N92000002,Northern Ireland,"415,000","358,000","296,000","79,000","99,000",-,,"19,000","18,000","17,000","8,000","10,000",-
,,,,,,,,,,,,,,
K02000001,UK,"15,569,000","12,254,000","10,755,000","2,464,000","3,088,000","114,000",,"114,000","108,000","104,000","50,000","57,000","11,000"
