Code,Area,PupilsReading-All,PupilsWriting-All,PupilsMathematics-All,PupilsScience-All,%PassReading-All,%PassWriting-All,%PassMathematics-All,%PassScience-All,%HighReading-All,%HighWriting-All,%HighMathematics-All,,PupilsReading-M,PupilsWriting-M,PupilsMathematics-M,PupilsScience-M,%PassReading-M,%PassWriting-M,%PassMathematics-M,%PassScience-M,%HighReading-M,%HighWriting-M,%HighMathematics-M,,PupilsReading-F,PupilsWriting-F,PupilsMathematics-F,PupilsScience-F,%PassReading-F,%PassWriting-F,%PassMathematics-F,%PassScience-F,%HighReading-F,%HighWriting-F,%HighMathematics-F
E09000001,City of London,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*,*
E09000002,Barking and Dagenham,3690,3690,3690,3690,76,69,77,82,27,17,24,,1903,1903,1903,1903,71,61,76,78,23,13,24,,1787,1787,1787,1787,82,77,78,85,30,22,24
E09000003,Barnet,4343,4343,4343,4343,78,71,77,84,27,16,23,,2207,2207,2207,2207,74,65,76,81,24,12,26,,2136,2136,2136,2136,82,77,78,87,30,21,21
E09000004,Bexley,3314,3314,3314,3314,81,75,82,86,29,19,24,,1695,1695,1695,1695,77,68,80,83,25,14,26,,1619,1619,1619,1619,85,82,84,89,33,25,23
E09000005,Brent,3936,3936,3936,3936,74,68,75,80,23,15,21,,2028,2028,2028,2028,70,63,73,77,20,12,22,,1908,1908,1908,1908,79,74,77,83,26,18,20
E09000006,Bromley,4053,4053,4053,4053,80,74,80,88,31,21,26,,2113,2113,2113,2113,77,69,79,86,27,15,28,,1940,1940,1940,1940,83,80,80,90,37,27,24
E09000007,Camden,1628,1628,1628,1628,74,67,75,82,24,12,21,,862,862,862,862,71,61,74,80,22,10,24,,766,766,766,766,79,74,75,85,26,14,17
E09000008,Croydon,4865,4865,4865,4865,77,69,76,85,26,16,23,,2483,2483,2483,2483,73,62,74,82,22,12,24,,2382,2382,2382,2382,82,76,78,88,31,21,22
E09000009,Ealing,4608,4608,4608,4608,75,68,75,82,21,15,20,,2382,2382,2382,2382,70,61,74,79,19,12,22,,2226,2226,2226,2226,79,75,76,86,23,19,17
E09000010,Enfield,4722,4722,4722,4722,72,65,74,77,22,14,18,,2432,2432,2432,2432,69,60,73,74,18,10,19,,2290,2290,2290,2290,76,71,74,80,26,18,17
E09000011,Greenwich,3597,3597,3597,3597,80,76,81,85,32,24,30,,1849,1849,1849,1849,76,71,79,83,28,20,31,,1748,1748,1748,1748,85,82,84,88,35,29,30
E09000012,Hackney,2763,2763,2763,2763,80,77,81,84,29,21,25,,1401,1401,1401,1401,77,72,80,81,27,18,27,,1362,1362,1362,1362,84,83,83,87,31,24,23
E09000013,Hammersmith and Fulham,1472,1472,1472,1472,79,72,79,83,27,18,23,,769,769,769,769,75,66,76,80,26,15,25,,703,703,703,703,84,79,83,86,28,22,20
E09000014,Haringey,3186,3186,3186,3186,79,74,79,84,30,20,26,,1672,1672,1672,1672,74,67,77,81,26,15,28,,1514,1514,1514,1514,84,82,81,87,35,26,24
