Code,Area,PupilsReading-All,PupilsWriting-All,PupilsMathematics-All,PupilsScience-All,%PassReading-All,%PassWriting-All,%PassMathematics-All,%PassScience-All,%HighReading-All,%HighWriting-All,%HighMathematics-All,,PupilsReading-M,PupilsWriting-M,PupilsMathematics-M,PupilsScience-M,%PassReading-M,%PassWriting-M,%PassMathematics-M,%PassScience-M,%HighReading-M,%HighWriting-M,%HighMathematics-M,,PupilsReading-F,PupilsWriting-F,PupilsMathematics-F,PupilsScience-F,%PassReading-F,%PassWriting-F,%PassMathematics-F,%PassScience-F,%HighReading-F,%HighWriting-F,%HighMathematics-F
E09000015,Harrow,3238,3238,3238,3238,78,73,78,86,25,16,25,,1666,1666,1666,1666,74,67,77,83,22,12,27,,1572,1572,1572,1572,82,79,80,88,28,20,23
E09000016,Havering,3071,3071,3071,3071,77,71,77,87,24,15,19,,1560,1560,1560,1560,74,66,77,86,22,11,23,,1511,1511,1511,1511,81,77,77,87,25,19,16
E09000017,Hillingdon,4066,4066,4066,4066,77,70,78,83,27,18,24,,2079,2079,2079,2079,74,63,77,81,24,14,27,,1987,1987,1987,1987,81,76,79,86,29,22,21
E09000018,Hounslow,3433,3433,3433,3433,80,74,81,86,31,23,29,,1824,1824,1824,1824,75,67,79,82,26,17,29,,1609,1609,1609,1609,85,82,84,91,37,29,29
E09000019,Islington,2094,2094,2094,2094,76,71,77,79,26,17,23,,1065,1065,1065,1065,72,64,76,77,22,14,24,,1029,1029,1029,1029,80,77,78,82,29,21,21
E09000020,Kensington and Chelsea,1008,1008,1008,1008,82,75,82,86,28,21,28,,524,524,524,524,81,73,84,86,25,18,30,,484,484,484,484,84,78,80,86,31,25,25
E09000021,Kingston upon Thames,1957,1957,1957,1957,80,71,80,87,29,19,24,,1017,1017,1017,1017,77,66,80,85,26,16,27,,940,940,940,940,84,76,80,89,31,23,21
E09000022,Lambeth,3177,3177,3177,3177,79,73,79,85,29,19,24,,1511,1511,1511,1511,74,66,77,81,24,13,24,,1666,1666,1666,1666,84,80,81,88,33,24,24
E09000023,Lewisham,3747,3747,3747,3747,80,73,78,87,25,18,22,,1951,1951,1951,1951,76,68,77,85,22,14,25,,1796,1796,1796,1796,83,78,78,89,29,22,19
E09000024,Merton,2529,2529,2529,2529,77,69,78,86,30,18,25,,1304,1304,1304,1304,75,63,78,85,26,12,28,,1225,1225,1225,1225,81,76,79,87,34,23,22
E09000025,Newham,4916,4916,4916,4916,78,73,80,83,27,19,26,,2496,2496,2496,2496,75,68,78,80,22,13,26,,2420,2420,2420,2420,81,79,81,86,31,25,27
E09000026,Redbridge,4226,4226,4226,4226,79,71,79,83,32,19,26,,2156,2156,2156,2156,74,64,76,80,28,14,26,,2070,2070,2070,2070,84,79,81,86,37,23,25
E09000027,Richmond upon Thames,2533,2533,2533,2533,83,72,82,91,36,21,28,,1307,1307,1307,1307,81,68,83,90,34,17,32,,1226,1226,1226,1226,85,77,80,92,39,26,25
E09000028,Southwark,3414,3414,3414,3414,79,73,78,83,26,16,23,,1708,1708,1708,1708,75,67,76,80,22,13,25,,1706,1706,1706,1706,83,79,79,87,30,20,21
E09000029,Sutton,2543,2543,2543,2543,78,72,79,84,27,22,25,,1338,1338,1338,1338,75,67,78,83,24,17,26,,1205,1205,1205,1205,82,77,79,86,31,27,23
E09000030,Tower Hamlets,3447,3447,3447,3447,76,72,77,81,25,17,23,,1781,1781,1781,1781,72,65,76,79,21,13,25,,1666,1666,1666,1666,81,79,79,84,29,22,21
E09000031,Waltham Forest,3613,3613,3613,3613,81,75,81,85,28,20,27,,1868,1868,1868,1868,76,69,79,82,25,15,27,,1745,1745,1745,1745,86,83,82,89,31,25,26
E09000032,Wandsworth,2864,2864,2864,2864,82,76,81,86,32,21,26,,1512,1512,1512,1512,80,71,80,85,28,16,27,,1352,1352,1352,1352,84,81,82,88,37,27,24
E09000033,Westminster,1525,1525,1525,1525,76,70,78,82,25,19,22,,731,731,731,731,72,63,76,79,21,13,24,,794,794,794,794,80,76,80,84,28,24,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,35270,35270,35270,35270,79,73,79,84,27,18,24,,17990,17990,17990,17990,75,67,77,81,24,14,26,,17280,17280,17280,17280,82,79,80,86,31,23,22
E13000002,Outer London,68340,68340,68340,68340,78,71,78,84,27,18,24,,35210,35210,35210,35210,74,65,77,82,24,14,26,,33130,33130,33130,33130,82,77,79,87,31,23,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,30370,30370,30370,30370,77,71,77,83,26,17,21,,15600,15600,15600,15600,73,64,75,80,22,13,23,,14770,14770,14770,14770,81,78,78,86,30,22,20
E12000002,North West,88150,88150,88150,88150,73,66,73,81,22,13,18,,45230,45230,45230,45230,69,59,72,78,19,9,20,,42920,42920,42920,42920,78,73,75,84,25,17,16
E12000003,Yorkshire and the Humber,66440,66440,66440,66440,72,66,73,80,22,14,19,,34030,34030,34030,34030,68,59,71,78,19,10,21,,32410,32410,32410,32410,77,73,74,82,26,19,17
E12000004,East Midlands,56090,56090,56090,56090,73,66,74,82,24,15,19,,28610,28610,28610,28610,69,59,73,79,20,11,21,,27480,27480,27480,27480,78,74,75,85,27,19,17
E12000005,West Midlands,71770,71770,71770,71770,74,67,74,81,23,14,19,,37020,37020,37020,37020,70,60,73,78,20,10,21,,34740,34740,34740,34740,79,74,75,84,27,18,18
E12000006,East,72970,72970,72970,72970,76,68,75,83,27,17,22,,37370,37370,37370,37370,72,61,74,80,24,12,24,,35600,35600,35600,35600,80,75,76,85,31,22,19
E12000007,London,103610,103610,103610,103610,78,72,78,84,27,18,24,,53210,53210,53210,53210,74,66,77,81,24,14,26,,50400,50400,50400,50400,82,78,80,87,31,23,22
E12000008,South East,104190,104190,104190,104190,78,70,77,85,28,16,21,,53360,53360,53360,53360,74,63,75,83,24,12,23,,50830,50830,50830,50830,82,77,78,87,32,21,19
E12000009,South West,60360,60360,60360,60360,76,68,75,84,26,15,20,,30840,30840,30840,30840,71,61,74,82,22,11,22,,29530,29530,29530,29530,80,75,76,86,29,20,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND (state-funded schools),653945,653945,653943,653945,76,68,75,83,25,16,21,,335251,335251,335249,335251,71,62,74,80,22,11,22,,318694,318694,318694,318694,80,75,76,85,29,20,19
,ENGLAND (all schools),654376,654376,654374,654376,76,68,75,83,25,16,21,,335511,335511,335509,335511,71,61,74,80,22,11,22,,318865,318865,318865,318865,80,75,76,85,29,20,19
